Date(timestamp),0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1389110400,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,82.6,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,139.1,139.1,139.1,139.1
1389196800,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,53.1,53.1,73.5,73.5,73.5,73.5,101.5,101.5,101.5,101.5,101.5,101.5,101.5,131,112.5,81.9
1389283200,53.5,46.2,46.2,41.9,41.9,41.9,41.9,48.4,48.4,95.7,95.7,95.6,93.9,93.7,100.8,92.9,83.8,90.9,100.9,132.1,132.1,123.4,94.2,69.8
1389369600,50.3,30.4,25.2,25.2,29.5,25.8,34.8,37.6,37.6,82.6,75.1,83.4,83.4,101.2,99.3,117.8,114.3,114.2,126.4,129.5,129.5,129.6,117.4,102.9
1389456000,65.6,53.8,53.8,41.7,39.3,39.1,45,45,81,93.4,88.6,94.1,126.3,115.1,123.9,115.4,131.1,124,106.4,126.2,126.2,124.7,101,75.5
1389542400,61.3,46.7,46.7,37.1,43.9,44,47.3,56.8,56.8,93,93,90.5,101.6,97.2,112.7,103.1,98.4,115.4,131.2,140.4,140.4,138.2,113,74.3
1389628800,58.1,40.1,42.1,35.1,40.8,33.1,40.5,49,70.6,78.9,90.1,104.2,100.5,103.9,92,88.6,86.8,103.1,99.6,123,123,127.4,116,77.9
1389715200,61.3,50.8,50.8,38.7,38.7,45.9,54.1,52.1,68.2,68.2,97.4,96.5,82.8,85.6,94.3,101,82.3,109.4,105.3,145.9,145.9,122.6,109.9,85.3
1389801600,70.7,51.8,51.8,50.4,51.3,55.6,43,48.7,48.7,68.4,68.4,68.4,68.4,103.1,103.1,95.9,100.7,104.2,111.1,130.7,130.7,131,121.1,95.3
1389888000,55.2,50.4,48.1,48.2,42.9,42.9,47.9,42.8,46.1,46.1,82.2,97.3,97.3,97.3,88.2,88.2,88.2,87,102.3,128.4,128.4,117.8,96.4,61.4
1389974400,57.6,54.1,48.6,37.1,40.9,38.4,48.8,48.8,67.2,67.2,87,89.3,74.5,82,97.8,99,95.2,113.4,108.6,131.1,131.1,141.9,102.3,74.9
